serial_no,order_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_name
1,1,1,1/1/2024,11:38:36,13.25,13.25,M,Classic,Plain Cheese Margherita Pizza
2,2,1,1/1/2024,11:57:40,16,16,M,Classic,Cheese Chilly Pizza
3,2,1,1/1/2024,11:57:40,18.5,18.5,L,Veggie,Onion Cheese Pizza
4,2,1,1/1/2024,11:57:40,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
5,2,1,1/1/2024,11:57:40,16,16,M,Veggie,Corn Cheese Pizza
6,2,1,1/1/2024,11:57:40,20.75,20.75,L,Classic,Paneer Cheese Pizza
7,3,1,1/1/2024,12:12:28,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
8,3,1,1/1/2024,12:12:28,20.75,20.75,L,Supreme,Veg Special Pizza
9,4,1,1/1/2024,12:16:31,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
10,5,1,1/1/2024,12:21:30,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
11,6,1,1/1/2024,12:29:36,12.75,12.75,S,Classic,Paneer Tandoori Pizza
12,7,1,1/1/2024,12:50:37,12.5,12.5,S,Supreme,Paneer Makhani Pizza
13,12,1,1/1/2024,13:04:41,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
14,13,1,1/1/2024,13:11:55,20.25,20.25,L,Veggie,Corn Cheese Pizza
15,14,1,1/1/2024,13:14:19,12,12,S,Classic,Paneer Peri Peri Pizza
16,15,1,1/1/2024,13:33:00,18.5,18.5,L,Veggie,Onion Cheese Pizza
17,15,1,1/1/2024,13:33:00,12,12,S,Classic,Paneer Peri Peri Pizza
18,16,1,1/1/2024,13:34:07,20.75,20.75,L,Classic,Paneer Cheese Pizza
19,17,1,1/1/2024,13:53:00,20.75,20.75,L,Classic,Paneer Tandoori Pizza
20,17,1,1/1/2024,13:53:00,18.5,18.5,L,Veggie,Onion Cheese Pizza
21,17,1,1/1/2024,13:53:00,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
22,17,1,1/1/2024,13:53:00,20.25,20.25,L,Veggie,Corn Cheese Pizza
23,20,1,1/1/2024,14:03:08,18.5,18.5,L,Veggie,Onion Cheese Pizza
24,22,1,1/1/2024,14:16:26,18.5,18.5,L,Veggie,Onion Cheese Pizza
25,24,1,1/1/2024,14:23:01,16.75,16.75,M,Classic,Paneer Tandoori Pizza
26,24,1,1/1/2024,14:23:01,12.5,12.5,S,Supreme,Veg Special Pizza
27,25,1,1/1/2024,14:44:44,20.75,20.75,L,Classic,Paneer Cheese Pizza
28,26,1,1/1/2024,14:54:26,12,12,S,Classic,Cheese Chilly Pizza
29,27,1,1/1/2024,15:11:17,20.75,20.75,L,Classic,Paneer Tandoori Pizza
30,27,1,1/1/2024,15:11:17,16,16,M,Classic,Cheese Chilly Pizza
31,29,1,1/1/2024,15:41:01,12,12,S,Veggie,Paneer Peppy Pizza
32,30,1,1/1/2024,15:41:25,20.75,20.75,L,Classic,Paneer Cheese Pizza
33,31,1,1/1/2024,15:50:18,16,16,M,Veggie,Corn Cheese Pizza
34,32,1,1/1/2024,15:53:18,20.25,20.25,L,Veggie,Paneer Peppy Pizza
35,32,1,1/1/2024,15:53:18,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
36,33,1,1/1/2024,15:54:08,20.75,20.75,L,Classic,Paneer Tandoori Pizza
37,33,1,1/1/2024,15:54:08,12,12,S,Veggie,Paneer Peppy Pizza
38,34,1,1/1/2024,16:21:21,12,12,S,Classic,Paneer Peri Peri Pizza
39,35,1,1/1/2024,16:32:04,16,16,M,Veggie,Paneer Peppy Pizza
40,35,1,1/1/2024,16:32:04,20.75,20.75,L,Classic,Paneer Cheese Pizza
41,36,1,1/1/2024,16:54:09,16.75,16.75,M,Classic,Paneer Tandoori Pizza
42,36,1,1/1/2024,16:54:09,16,16,M,Classic,Cheese Chilly Pizza
43,37,1,1/1/2024,16:56:09,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
44,37,1,1/1/2024,16:56:09,20.25,20.25,L,Veggie,Corn Cheese Pizza
45,38,1,1/1/2024,17:03:00,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
46,39,1,1/1/2024,17:07:23,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
47,41,1,1/1/2024,17:15:20,12,12,S,Veggie,Paneer Peppy Pizza
48,42,1,1/1/2024,17:28:09,18.5,18.5,L,Veggie,Onion Cheese Pizza
49,42,1,1/1/2024,17:28:09,20.25,20.25,L,Veggie,Corn Cheese Pizza
50,43,1,1/1/2024,17:38:34,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
51,45,1,1/1/2024,17:55:48,10.5,10.5,S,Classic,Plain Cheese Margherita Pizza
52,45,1,1/1/2024,17:55:48,16.75,16.75,M,Classic,Paneer Cheese Pizza
53,46,1,1/1/2024,18:25:51,20.5,20.5,L,Classic,Cheese Chilly Pizza
54,46,1,1/1/2024,18:25:51,16.75,16.75,M,Classic,Paneer Cheese Pizza
55,48,1,1/1/2024,18:26:42,12,12,S,Veggie,Paneer Peppy Pizza
56,48,1,1/1/2024,18:26:42,20.75,20.75,L,Supreme,Veg Special Pizza
57,48,1,1/1/2024,18:26:42,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
58,50,1,1/1/2024,18:41:01,25.5,25.5,XL,Classic,Paneer Peri Peri Pizza
59,51,1,1/1/2024,18:48:28,20.75,20.75,L,Classic,Paneer Tandoori Pizza
60,52,1,1/1/2024,18:53:02,16.5,16.5,L,Classic,Plain Cheese Margherita Pizza
61,52,1,1/1/2024,18:53:02,20.25,20.25,L,Veggie,Corn Cheese Pizza
62,52,1,1/1/2024,18:53:02,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
63,53,1,1/1/2024,18:54:17,16.5,16.5,M,Supreme,Paneer Makhani Pizza
64,54,1,1/1/2024,19:01:45,16.5,16.5,M,Supreme,Veg Special Pizza
65,54,1,1/1/2024,19:01:45,20.75,20.75,L,Classic,Paneer Cheese Pizza
66,55,1,1/1/2024,19:03:19,20.75,20.75,L,Supreme,Paneer Barbeque Pizza
67,56,1,1/1/2024,19:07:00,16,16,M,Classic,Cheese Chilly Pizza
68,57,1,1/1/2024,19:10:51,16,16,M,Classic,Cheese Chilly Pizza
69,58,1,1/1/2024,19:30:40,18.5,18.5,L,Veggie,Onion Cheese Pizza
70,61,1,1/1/2024,20:08:43,16.75,16.75,M,Classic,Paneer Tandoori Pizza
71,61,1,1/1/2024,20:08:43,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
72,62,1,1/1/2024,20:50:16,16.75,16.75,M,Classic,Paneer Tandoori Pizza
73,62,1,1/1/2024,20:50:16,16.5,16.5,M,Supreme,Paneer Makhani Pizza
74,65,1,1/1/2024,21:16:00,12.5,12.5,S,Supreme,Paneer Barbeque Pizza
75,65,1,1/1/2024,21:16:00,16.5,16.5,M,Supreme,Paneer Makhani Pizza
76,66,1,1/1/2024,21:47:55,16,16,M,Classic,Cheese Chilly Pizza
77,68,1,1/1/2024,22:07:32,16,16,M,Classic,Cheese Chilly Pizza
78,68,1,1/1/2024,22:07:32,20.75,20.75,L,Supreme,Capsicum Cheese Pizza
79,68,1,1/1/2024,22:07:32,16.5,16.5,M,Supreme,Capsicum Cheese Pizza
80,69,1,1/1/2024,22:12:13,20.75,20.75,L,Classic,Paneer Tandoori Pizza
81,71,1,1/2/2024,11:40:50,20.75,20.75,L,Classic,Paneer Cheese Pizza
82,73,1,1/2/2024,11:58:56,12.75,12.75,S,Classic,Paneer Cheese Pizza
